Unnamed: 0,Coluna_0,Coluna_1,Coluna_2,Coluna_3,Coluna_4,Coluna_5,Coluna_7,Coluna_8,Coluna_11,Coluna_12
38153,2017,1,12,19,22,44,-20.15587,-43.84911,0,-3
38743,2017,1,12,19,26,33,-20.38453,-43.8569,0,-3
39654,2017,1,12,19,32,47,-20.35194,-43.59456,0,-3
47871,2017,1,12,20,32,21,-20.22798,-44.00957,0,-3
50010,2017,1,12,20,57,56,-19.99653,-44.08315,0,-3
51740,2017,1,12,21,13,36,-19.98502,-44.09458,0,-3
51858,2017,1,12,21,14,58,-20.16608,-44.16259,0,-3
51977,2017,1,12,21,16,35,-20.16793,-43.76223,0,3
52061,2017,1,12,21,17,24,-20.01452,-43.96266,0,-3
52249,2017,1,12,21,19,51,-20.00659,-43.92365,0,-3
52419,2017,1,12,21,21,28,-19.99229,-43.97346,0,-3
52702,2017,1,12,21,24,0,-20.12091,-44.26649,0,-3
52721,2017,1,12,21,25,23,-19.95012,-44.1391,0,-3
52734,2017,1,12,21,25,34,-20.04545,-43.87584,0,-3
53048,2017,1,12,21,28,40,-20.01884,-43.92735,0,-3
53064,2017,1,12,21,28,50,-19.99962,-44.00494,0,3
53086,2017,1,12,21,28,4,-20.02991,-44.0479,0,-3
53171,2017,1,12,21,29,58,-20.10707,-43.84029,0,-3
53179,2017,1,12,21,30,12,-20.0475,-43.9343,0,-3
53205,2017,1,12,21,30,24,-20.00417,-43.9114,0,-3
53308,2017,1,12,21,31,33,-20.10256,-44.13805,0,-3
53405,2017,1,12,21,32,32,-20.02086,-44.17266,0,-3
53458,2017,1,12,21,32,5,-19.95168,-43.95333,0,-3
53566,2017,1,12,21,34,17,-20.07705,-43.85793,0,-3
53579,2017,1,12,21,34,22,-20.14708,-43.77356,0,3
53726,2017,1,12,21,35,3,-19.96394,-44.14158,0,3
53839,2017,1,12,21,36,7,-20.00459,-43.96143,0,3
53956,2017,1,12,21,38,45,-20.01742,-44.09792,0,3
53977,2017,1,12,21,38,55,-20.00286,-44.04362,0,-3
53991,2017,1,12,21,38,1,-20.00085,-44.04765,0,-3
54213,2017,1,12,21,41,34,-20.06471,-43.91124,0,-3
54266,2017,1,12,21,42,11,-20.04643,-44.23021,0,3
54267,2017,1,12,21,42,12,-20.15048,-43.78469,0,-3
54319,2017,1,12,21,42,50,-20.09954,-44.17009,0,-3
54343,2017,1,12,21,42,2,-20.121,-43.89784,0,3
54418,2017,1,12,21,43,53,-20.03706,-44.00955,0,-3
54958,2017,1,12,21,50,15,-19.97372,-43.87907,0,-3
55058,2017,1,12,21,51,26,-19.88758,-43.95705,0,-3
55294,2017,1,12,21,54,32,-19.98784,-43.79142,0,-3
55360,2017,1,12,21,55,20,-19.96114,-44.0716,0,3
55630,2017,1,12,21,58,42,-20.04431,-43.92162,0,3
